MUNICIPALITY,POPULATION,BUDGETYEAR,TOTALREVENUE,TOTALEXPENDITURES,POLICE,PROPERTYTAXREVENUE,PROPERTYTAXPERCENTOFTOTALREVENUE,SALESTAXREVENUE,SALESTAXPERCENTAGEOFTOTALREVENUE,GROSSUTILITYRECEIPTS,GROSSUTILITYPERCENTAGEOFTOTALREVENUE,COURTFINESANDFEESREVENUE,COURTFINESANDFEESPERCENTAGEOFTOTALREVENUE,TOPEXPENDITURECATEGORY,TOPEXPENDITURE,TOPEXPENDITUREPERCENTAGEOFTOTAL,SECONDEXPENDITURECATEGORY,SECONDEXPENDITURE,SECONDEXPENDITUREPERCENTAGEOFTOTAL,THIRDEXPENDITURECATEGORY,THIRDEXPENDITURE,THIRDEXPENDITUREPERCENTAGEOFTOTAL,ADMINEXPENDITURE,ADMINISTRATIONPERCENTAGEOFTOTALEXPENDITURES,GENERALOBLIGATIONDEBT,LEASEHOLDDEBT,CERTIFICATIONOFPARTICIPATIONDEBT,SpecialObligationAnnualAppropriationDebt,CompensatedAbsenses,TotalDebt,PensionActuarialAccruedLiability,PensionUnfundedActuarialAccruedLiability,OutstandingTaxIncrementFinancingDebt
Ballwin,30577,2017,22995835,23887533,5837363,0,0.0,9745004,0.4496847501235075,4232176,0.19529443056551907,658412,0.030382525825368448,Police,5533467,0.26029289675805345,Parks & Recreation,4263650,0.20056102426606584,Public Works,3121347,0.1468273782814752,3087365,0.14522887354337302,0,1007894,0,0,603368,1611262,0,0,11770000
Bella Villa,740,2017,436200,500695,294675,0,0.0,164976,0.2618263537201415,52939,0.08401722274506941,331777,0.5265490868866222,Police,311472,0.5566691926051958,Municipal Court,76275,0.13632025564404285,Administration,63452,0.11340272515405841,63452,0.11340272515405841,0,0,0,0,0,0,,,0
Bellefontaine Neighbors,10798,2017,5154160,4875113,1895733,745347,0.1025388633968008,268339,0.03691592783634217,1408961,0.19383355606237074,744671,0.10244586473757732,Police,2366717,0.30851745567676125,Administration,1360590,0.17736204413930545,Habilitation,1073444,0.1399306345843146,1360590,0.17736204413930545,4318691,247686,0,0,129417,4695794,0,0,0
Berkeley,9073,2017,13484178,21072115,3349645,2205264,0.1687043147178997,3662606,0.2801920474426952,2521293,0.192880765190942,961685,0.0735696084003926,Public Safety,4237037,0.45728294709972145,General Government,2105028,0.22718550901666246,Public Works,1111781,0.11998915567871496,2105028,0.22718550901666246,0,0,7785000,0,281370,8066370,0,0,0
Black Jack,6947,2017,2980025,2979308,,354076,0.12002775639324179,1586894,0.5379391047512314,367799,0.12467969806956115,75436,0.0255719501781555,Police,750015,0.2889554200788409,Administration,631078,0.24313301546304372,Public Works,504987,0.19455441653747407,631078,0.24313301546304372,2114990,0,0,0,0,2114990,0,0,0
Breckenridge Hills,4715,2015,2214146,2316956,1265994,106243,0.04777010208412768,963061,0.4330216793882146,261358,0.11751455004568247,436855,0.19642336856039078,Police,1090609,0.5188202811101692,Administration,436432,0.20761773736093628,Public Works,306206,0.1456671300141668,436432,0.20761773736093628,0,27292,0,0,0,27292,0,0,0
Brentwood,8057,2017,19853093,19608798,3503551,4014673,0.16888187057101192,13809326,0.5809052957002749,3007430,0.1265110269283148,236784,0.009960593264080659,Capital Outlay,9587644,0.33834276608798775,Debt Service,4665644,0.1646480508185143,Administration,3404617,0.12014709069821394,3404617,0.12014709069821394,0,542666,11135000,0,0,11677666,0,0,25195000
Bridgeton,11786,2015,26035800,28004900,5370200,990624,0.04325997831027108,12329531,0.5384235023942634,2988977,0.1305269004081257,292342,0.012766406405640552,Capital Outlay,16707542,0.4563106989684577,Public Safety,5232306,0.14290296011686549,General Government,4402090,0.12022838337452979,4402090,0.12022838337452979,0,0,20220000,0,0,20220000,0,0,12551796
Calverton Park,1288,2017,872050,893664,601041,46139,0.0517982720063228,289639,0.32516525511258004,94107,0.10564988369273326,284215,0.3190759634642501,Police,497191,0.5826363718393572,Insurance,106595,0.12491401504897773,Administration,80380,0.09419380392735897,80380,0.09419380392735897,0,0,0,0,0,0,0,0,0
Chesterfield,47864,2017,39546589,39859080,9576254,3872,9.93386641320256e-05,20150313,0.5169693117929207,8001265,0.2052776282196105,1065157,0.027327291702189047,Police,9100819,0.23685622221256375,Capital Outlay,7637252,0.19876569974695102,Public Works,6094766,0.15862124606912612,3063014,0.07971743253263182,7340000,0,36460000,0,0,43800000,,,0
Clarkson Valley,2652,2017,925700,886591.71,,146398,0.1540263068742543,411636,0.4330849660274768,121733,0.1280760967685597,127920,0.1345854805076204,Public Safety,409340,0.4569092822883192,Administration,238441,0.266150159227315,Sanitation,135108,0.15080886136563793,238441,0.266150159227315,0,0,0,0,0,0,,,0
Clayton,15884,2017,40264878,42329366,6784667,8058411,0.25793852714626125,7085858,0.22680845840297206,5434842,0.17396173274763982,1200721,0.038433409049698004,Public Safety,10459971,0.3446805153706352,Public Works,5652642,0.18626777815786472,General Government,3112501,0.10256418959207607,3112501,0.10256418959207607,15000000,595373,0,26270000,0,41865373,0,0,0
Cool Valley,1187,2017,1820350,1893700,,36728,0.030581055033076465,244720,0.2037626820870854,203612,0.16953468137101843,198341,0.1651458570114196,Police,515727,0.348949889711355,Capital Outlay,455357,0.3081024940119355,Administration,203376,0.1376077513295533,203376,0.1376077513295533,0,18025,0,0,1970,19995,0,0,0
Country Club Hills,1272,2017,1020532.91,1020532.91,601000,125218,0.1440694931829949,414563,0.476975205660703,130595,0.15025599723868147,57509,0.06616694471610193,Police,395246,0.41325611473632373,Administration,301617,0.3153607362463523,Economic Development,146165,0.15282527846059102,301617,0.3153607362463523,0,0,0,0,0,0,,,2709836
Country Life Acres,74,2016,103700,103700,,28019,0.2769661144280574,10857,0.10732078605037365,2148,0.02123284963030327,0,0.0,Fire,42476,0.4627973109902921,Solid Waste Management,14611,0.15919416872773232,Police,11067,0.12058051230646866,600,0.006537300748520936,0,0,0,0,0,0,0,0,0
Crestwood,11966,2017,10630001,11360881,2794664,1046205,0.08553729954590719,6001451,0.49067621727776517,1561058,0.1276314735205192,201334,0.01646098677293234,Capital Outlay,2887254,0.2411143765349125,Fire,2606414,0.2176614480755304,Police & Municipal Courts,2550975,0.21303174112189244,1263400,0.10550644429420081,0,0,0,0,259859,259859,0,0,0
Creve Coeur,18276,2017,20207061,21273802,7290342,547335,0.029287154088683837,7024743,0.3758844778324119,5586528,0.2989275422853403,1137913,0.06088818250343298,Public Safety,6350570,0.364506080047075,Public Works,3998481,0.2295023337200769,General Government,3156302,0.18116346555738194,3156302,0.18116346555738194,0,0,0,0,480701,480701,0,0,0
Crystal Lake Park,499,2017,488096,467527,,124903,0.38842466328526604,100461,0.3124146745738782,39167,0.12180194860727137,0,0.0,Capital Improvements,171610,0.4506423116918585,Public Safety,121170,0.31818850246315766,Administration,52677,0.13832809890444628,52677,0.13832809890444628,0,0,0,0,0,0,0,0,0
Dellwood,5011,2017,3686602,3288843,,180548,0.06413924569564232,1554570,0.5522572788459283,537092,0.19080064996102933,215647,0.07660808159895528,Police,1113629,0.38262410908901,General Government,575505,0.19773379455929282,Recreation Center,422014,0.14499688026541108,575505,0.19773379455929282,0,0,0,0,0,0,0,0,0
Des Peres,8572,2017,20275670,20211941,7033920,0,0.0,12738521,0.6096953485852086,1179676,0.05646204689206891,270861,0.012964039688213268,Capital Outlay,6520730,0.2837476448209646,Public Safety,6082064,0.2646592230701739,Parks and Recreation,4478943,0.19489988506460867,1877279,0.08168924260349004,6100000,0,520000,0,0,6620000,0,0,0
Edmundson,837,2017,3176345.5,1951661,1061890,92258,0.03311591791697581,1620749,0.5817662516857143,114488,0.0410953544459963,205217,0.07366243932415645,Police,987867,0.509014584097645,Capital Outlay,273599,0.14097634721529476,Public Works,224979,0.11592409921143644,188517,0.09713645900747342,0,0,0,0,0,0,0,,0
Ellisville,9284,2017,10846327,13148494,2807150,611017,0.060196352872433884,6202534,0.6110630724959679,2091844,0.20608490365748183,139110,0.01370487997565416,Police,2142474,0.2312481637539658,Capital Outlay,2019593,0.21798498968032426,Administrative,1693738,0.18281379488400537,1693738,0.18281379488400537,0,0,2820854,0,0,2820854,0,0,0
Eureka,10602,2017,14836824,16379019.98,3020798,844864.09,0.08126856426912538,5786238.39,0.5565857183895643,1259439.27,0.1211470844465118,182404.91,0.017545763072187186,Police,2815741.51,0.2640078976436827,Park Department,1619606.47,0.1518565882685752,Public Works,1343660.65,0.12598351876165087,1082319.59,0.1014798121630393,0,0,10965000,0,0,10965000,0,0,7163282
Fenton,4052,2017,12521169,12661441,,0,0.0,7118831,0.6126654791168112,1482151,0.12755784658161726,320608,0.02759237491783168,Public Safety,2452108,0.2500376008582479,Parks and Recreation,2446901,0.2495066512476806,Debt Service,1547100,0.15775535673298047,1312298,0.13381296563245867,0,0,1360482,0,36187,1396669,,,0
Ferguson,21059,2017,16874540,17495372,4633792,2912473,0.180336149699277,6507636,0.40294348475828073,2406507,0.14900746087752847,1050276,0.06503158311220665,Public Safety,9028104,0.3794512931877257,Capital Outlays,6276447,0.2637991244644746,General Government,2240144,0.09415327268346982,2240144,0.09415327268346982,8000000,0,12460000,0,0,20460000,,,6185000
Florissant,52268,2017,32866314,36768969,11075172,0,0.0,15482878,0.49235625440470404,6202723,0.19724688545565683,2020922,0.06426541540688128,Public Safety,10618205,0.31489178984294003,Culture and Recreation,6070746,0.1800330727860188,Capital Outlay,5755227,0.1706760917671503,4730623,0.14029059935668772,0,0,4205000,0,0,4205000,,,0
Frontenac,3574,2017,9593325,10848441,2734597,1192587,0.1344955836225764,4696912,0.5297004920092896,544789,0.06143930338512812,362531,0.04088491525253608,Police,2630532,0.30051665845077863,Fire,2315850,0.2645668265861186,Capital Outlay,1451038,0.16576916420142426,671757,0.07674271551569026,0,0,3664073,0,444380,4108453,,,0
Glendale,5927,2017,4511847,4524650,1207700,673012,0.1453088113432988,1823103,0.3936228921421937,888466,0.19182709725671357,109828,0.023712766090666762,Fire Department,1319327,0.2556531063939291,Public Works,1128973,0.21876718545506407,Police Department,1102937,0.2137220493530421,642986,0.12459486409950443,136611,0,0,0,0,136611,,,0
Green Park,2640,2017,2143900,2002400,,0,0.0,893274,0.48394190361078954,552487,0.2993164588919125,0,0.0,Administration,353727,0.2652809911467259,Police protection,226630,0.16996336446915977,Sanitation,224922,0.1686824333192091,353727,0.2652809911467259,0,0,0,0,0,977735,,,0
Greendale,653,2017,375873,368555,,28084,0.07032691850200959,145509,0.3643782788886524,67682,0.16948677175804774,30905,0.07739116280816859,Administration,137680,0.36518344049058926,Public Works,117586,0.3118859677042884,Police and Court,83319,0.22099592590234898,137680,0.36518344049058926,225000,0,0,0,0,225000,,,0
Hazelwood,25661,2017,30373286,35541681,7861983,10890745,0.27695826936369794,14738292,0.37480372974455234,399153,0.010150703564478659,1081830,0.02751159489509022,Fire and ambulance,9087169,0.21046907001800755,Debt Service,8452030,0.19575853534409896,Police,7838366,0.18154538586008137,2274547,0.052681070617510144,10590847,1480598,4009412,,1456290,17546174,,,17055000
Jennings,14819,2017,8022500,7905461.72,,846487,0.07310214966800406,5124286,0.4425305079861331,1817675,0.15697340880343028,727982,0.06286812333752666,Public Safety - Police,3390954,0.25918623590058576,Economic Development,2018818,0.15430756016989577,Capital Outlay,1439873,0.11005612669616992,1315940,0.10058335656308427,0,0,0,0,0,0,0,0,12880000
Kirkwood,27750,2017,26301863,31284472,7503525,3123488,0.10964472165438742,11264862,0.39543377738767876,5431166,0.19065182396371386,477188,0.016750871281341187,Police,7667135,0.26034425753736323,FIre,5680975,0.19290246206220737,General Government,4066910,0.13809547691820712,4066910,0.13809547691820712,2440,1339,14605,0,0,18384,,,2090
Ladue,8597,2017,14853331,15688788,4928233,4510263,0.2732185748962633,4563225,0.2764268583519411,3089497,0.18715271537076233,358412,0.021711553376315196,Fire Department,4672377,0.33294530852568366,Police Department,4241519,0.3022431306533161,Capital Outlay,2213335,0.15771833147147457,1240593,0.08840245963452938,0,0,0,0,0,0,,,0
Manchester,18229,2017,20881500,21504810,3550927,2053177,0.10812608320830303,13482370,0.7100195747688234,1816192,0.09564578568445599,413661,0.02178455325869608,Debt Service,6925081,0.38414389057491105,Police Department,3182223,0.17652234304507994,Public Works,2735986,0.15176895499106632,1491612,0.08274179564227829,1660000,0,0,0,0,1660000,,,44890000
Maplewood,7945,2017,16908925,19806367,3837636,2426154,0.15727999377661953,7658608,0.496483660384942,1981008,0.12842256753340206,876654,0.05683074349948462,Public Safety,5989491,0.38888685086493124,Debt Service,2479295,0.1609761538860597,Capital Outlay,2054217,0.13337660581228128,1827212,0.11863758047931164,8215000,557492,0,0,407939,11905810,,,16474000
Maryland Heights,27389,2017,37012100,39154224,11186000,0,0.0,8634010,0.22637783223995728,6144745,0.1611110078361406,2094402,0.05491378682663456,Capital Outlay,14448697,0.3276734824134936,Police Services,10143534,0.2300392284342093,Debt Service,3437310,0.07795272735214294,1785619,0.040495000759840145,0,0,15104148,0,0,15104148,,,10544250
Moline Acres,2431,2016,1297239,1297141,563609.64,230689,0.09780743185375756,682988,0.28957298469772796,207766,0.08808854729322939,331735,0.14064887535169107,Capital Outlay,1024569,0.36422748447204967,Police,665869,0.236712013400678,Debt Service,431636,0.15344373535367326,419341,0.14907294439514937,2385000,45535,0,0,0,2537147,,,2700000
Normandy,4978,2017,4336860,4557413,2268320,104691,0.025447347900741463,1069260,0.25990611625017257,720958,0.17524399468743984,813836,0.19781994465759073,Public Safety,2307569,0.5208047077983631,Administration,508979,0.11487355713762104,Contract Services,415258,0.09372128042582158,508979,0.11487355713762104,0,0,0,0,0,0,,,0
Northwoods,4193,2017,2941081,3014161,728000,488736,0.1363239266432141,1111010,0.30989582461672005,696015,0.19414059492768418,294976,0.0822781349962121,Police,834544,0.21238912828594086,Administration,826152,0.2102533876125005,Capital Outlay,791653,0.201473488006564,826152,0.2102533876125005,3184995,0,0,0,0,3246035,,,0
Norwood Court,962,2017,239520,238920,,0,0.0,205989,0.7628261626313724,12527,0.04639045453535481,275,0.001018390276779961,Police services,94074,0.3591378309867758,Street and Property Maintenance,90479,0.34541352350120635,Administrative,59791,0.22825871178572518,59791,0.22825871178572518,0,0,0,0,0,0,,,0
Oakland,1382,2017,758500,993620,,24995,0.03144844003407177,222013,0.27933436756488794,136515,0.17176170399085045,83547,0.10511793636833741,Engineering/landscaping,230010,0.325963108249059,Administration,156824,0.2222461566368872,Fire and police protection,140032,0.1984490499297084,156824,0.2222461566368872,0,0,0,0,0,0,,,0
Overland,15959,2017,9359312,10075948,4669086,331531,0.031256870683136824,3620610,0.3413525087067937,2465886,0.23248468415127854,490662,0.04625980280314444,Police department,4243139,0.40129311832746734,General Government,1668188,0.15776819106714654,Capital Outlay,1235436,0.1168408494121953,1668188,0.15776819106714654,0,0,0,0,0,0,,,0
Pacific,7161,2017,6746763.75,7098762.13,1998600.19,545553,0.1098174288993679,1952091,0.39294736642928546,1271239,0.25589484155820524,88430,0.017800571599040062,Public Safety,1650792,0.3370064382260408,Street Department,878896,0.1794251550353493,Capital Outlay,741729,0.15142274036884296,579454,0.11829456930723692,0,1190000,0,3205000,48678,4443678,,,0
Pagedale,3312,2016,2703332,3156904,1107445,137664,0.05864321119973555,873842,0.37224620061308195,459290,0.19565202574330645,255389,0.10879264778801474,Police protection,1072561,0.415691349383339,Public Works,721051,0.2794569848840355,Housing and sanitation,281537,0.1091150017866929,176449,0.06838615510664735,0,0,0,0,0,0,,,0
Richmond Heights,8481,2017,37781118,36197120,4648370.43,2991583,0.13466771084702897,10651737,0.4794936454494493,1745272,0.07856435373693993,482146,0.021704060396803844,Public Safety,7371076,0.32282833067721334,Debt Service,4544920,0.1990522057650037,General Government,3697292,0.16192895099524351,3697292,0.16192895099524351,0,1826915,5640000,5815000,565419,14170798,,,11485000
Rock Hill,4646,2017,6342748,7352178,998275,860002,0.16552967930623977,2217492,0.42681382092617487,851530,0.16389902328092534,543052,0.10452443529969944,Debt Services,1112923,0.20181801102840372,Capital Outlay,1059894,0.19220170576126017,Police Department,920900,0.16699646458565148,735528,0.13338101379493436,4643570,16783,0,0,154906,4815259,,,18812199
Saint Ann,12940,2017,14203398,12377294,4143633,430393,0.03779879892011712,3087738,0.2711772444719236,1724868,0.1514846633094511,1881905,0.16527626769432358,Police,4406169,0.2759437622380373,Projects,4228905,0.2648423053784925,Administration,2063713,0.129243505957113,2063713,0.129243505957113,0,190873,5075000,0,0,5265873,,,0
Saint John,6464,2017,5452931,5655390,1762145,748914,0.13729575140932215,2751396,0.5044036848618176,79386,0.014553554241715935,746166,0.1367919703011137,Public Safety,1529677,0.28847819945558517,General Government,1344821,0.2536166397677807,Public Works,1061889,0.2002591571565055,1344821,0.2536166397677807,0,0,2750000,0,0,2750000,,,2725000
Saint Louis City,311404,,,,,88648000,0.11461033546096631,179362000,0.23189174024174083,91778000,0.11865701840917524,4009000,0.005183115635581333,Police,183337000,0.21354185472533438,Debt Service,111845000,0.13027151497927328,Community Development,82459000,0.09604415801936514,59708000,0.06954492034853993,16800000,454100000,4500000,44200000,0,595300000,,,381200000
Shrewsbury,6202,2017,9027837,9180340,2246675,1133458,0.15771329374051912,3020984,0.4203502352777151,1042647,0.14507753492292702,426057,0.05928305485620495,Public works and planning,2250372,0.2460567450827401,Public Safety,2158905,0.236055699787792,Fire and ambulance ,1824366,0.19947704637260785,850390,0.09298204716860652,3024740,770000,1920000,,210064,5924804,,,8445786
STL County,998581,,,,,106766814,0.15084092084369877,332359356,0.4695596827499105,31712237,0.044803275960764506,2127729,0.0030060707971096934,Public Safety,174700770,0.2269337941642555,Transportation,138882852,0.18040683248684458,Capital Outlay,107435444,0.139557100604888,106186207,0.13793435966207263,,,,,,0,,,
Sunset Hills,8539,2017,10911940,10926664,2671928,205298,0.019331136172467428,4932346,0.46443634217442464,2023048,0.19049292429267645,396538,0.0373385521318176,Public Safety,2343637,0.22976677902865167,Capital outlay,1904466,0.18671108989556837,Parks and recreation,1383272,0.13561398457206514,485732,0.04762046217530489,0,0,11145000,0,0,11145000,,,0
Town & Country,11106,2017,14872710,15548749,4480310,0,0.0,5819471,0.4265807573185775,2592086,0.19000593162417723,917408,0.06724813980688649,Police Services,3909570,0.2979189860800903,Fire and ambulance services,3693320,0.2814401966633976,Capital Outlay,2227852,0.16976787958177023,1823463,0.13895242906881314,0,0,0,0,301864,301864,,,0
Twin Oaks,393,2017,1189400,2861700,,29469,0.024050888084898355,1071626,0.8745989682333056,8493,0.00693149385812351,0,0.0,Administration,423271,0.4279238156475357,Parks,154281,0.15597693723859524,Streets,127510,0.1289116564404773,423271,0.4279238156475357,0,0,0,0,5370,5370,,,0
University City,35058,2017,36743700,36731100,7915000,4409365,0.14616247207803587,10452880,0.346494060059682,7811569,0.2589393792185838,375171,0.01243623986945712,Public Safety,12774937,0.3834185357049355,General Government,7974850,0.23935188952137335,Capital Outlay,4949191,0.14854175532482433,7974850,0.23935188952137335,0,0,4194000,305000,919420,5418420,,,0
Valley Park,6974,2017,8126360,9018412.01,,1356518.82,0.2279840063430069,2571806.73,0.43223196995181223,746648.11,0.12548578385829848,110958,0.018648211143732867,Community Development,3276510.64,0.41545915911516784,Debt Service,1454548.15,0.18443564440600227,Police,1301096.96,0.16497814544832398,860660.5,0.10913112359483743,0,68490.47,4930000,0,0,4998490.47,,,8047850
Vinita Park,1886,2016,3666160,4042760,2268878,228295,0.0639636774736736,556070,0.1557996545381444,448001,0.1255208895152467,196102,0.05494384493721868,Police,2314461,0.541605960691077,Capital outlay,556996,0.1303423793622304,Public Works,508387,0.11896740949095905,472623,0.11059829219835585,104300,70916,0,0,0,175216,,,0
Warson Woods,1958,2016,1655850,1578016,609532,216148,0.12482559482559483,780624,0.4508108108108108,403868,0.23323400323400323,20186,0.011657426657426657,Capital Outlay,1874631,0.5690311453345742,Police,570221,0.17308660142920193,Administration,283069,0.08592361764993356,283069,0.08592361764993356,0,0,1230000,0,0,1230000,,,0
Webster Groves,23177,2017,23162093,24575210,4533501,4255107,0.19306114408015462,6816463,0.3092740430170247,3768285,0.1709732360009009,896872,0.04069254531400889,Public Safety,8221349,0.37381319009392083,General Government,3041105,0.13827477235920446,Parks and recreation,3008499,0.13679222334246738,3041105,0.13827477235920446,9780000,25644,0,0,0,9805644,,,1159000
Wilbur Park,477,2016,142800,124700,,0,0.0,100386.38,0.682627261127093,3642.49,0.02476892754159304,4685.37,0.03186051026510815,Rubbish Expense,36750.82,0.3791302090812606,Police Contract,16304,0.16819594580096098,Trustee Fees,14177,0.14625330738593129,31842.57,0.328495533481557,0,0,0,0,0,0,,,0
Wildwood,35899,2017,18840044,22991870,,0,0.0,7619029,0.5021372220667214,3445390,0.22707074136828478,515671,0.03398564350396466,Capital Outlay,5460314,0.39077385878946225,Police,3091368,0.22123742376322356,Public Works,1749345,0.12519395331551478,1125634,0.08055733457171466,1480000,0,2530000,0,113135,4123135,,,0
Winchester,1540,2017,719090,719090,,42652.36,0.06388525602685471,335181.44,0.502039092557829,149293.05,0.22361305968251277,80202.23,0.12012793658955066,Administrative,323976.96,0.4364264803679186,Public Safety,201507.71,0.2714492433113121,Streets and Sewer,123081.09,0.16580144127701865,323976.96,0.4364264803679186,0,0,0,0,0,0,,,0
Woodson Terrace,4072,2017,4385450,4211787.03,1756730,200143.31,0.04556834241151917,2719546.1,0.6191823643204041,372485.99,0.08480707716792385,130365.96,0.02968153521637277,Police,1623680.28,0.34847382086794404,Capital Outlay,970704.64,0.20833236629260665,Administration,652127.74,0.1399594785075404,652127.74,0.1399594785075404,1790000,0,0,0,0,1790000,,,0
